Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Country,Gender,Timestamp,Clicked on Ad
39.96,45,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,Guernsey,Male,4/15/16 6:08,Yes
57.05,41,50278.89,269.96,Seamless full-range website,Port Erinberg,Sierra Leone,Female,1/9/16 3:45,Yes
42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,Tajikistan,Female,2/10/16 15:23,Yes
62.2,25,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,Liechtenstein,Female,4/24/16 13:42,Yes
76.7,36,71136.49,222.25,Open-source coherent monitoring,West Russell,Ecuador,Male,6/12/16 5:31,No
61.22,45,63883.81,119.03,Streamlined logistical secured line,South Adam,Switzerland,Male,1/5/16 9:42,Yes
84.54,33,64902.47,204.02,Synchronized stable complexity,North Tracyport,Moldova,Male,3/2/16 10:07,No
46.08,30,66784.81,164.63,Synergistic value-added extranet,Brownport,Finland,Female,7/21/16 10:54,Yes
56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,France,Male,1/9/16 4:53,Yes
81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,Venezuela,Female,1/6/16 13:20,No
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,Cuba,Male,1/31/16 4:10,No
40.06,38,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,Peru,Female,6/11/16 8:38,Yes
83.47,39,64447.77,226.11,Total directional approach,New Brandy,Turkey,Male,5/15/16 20:48,No
73.84,31,42042.95,121.05,Programmable uniform productivity,South Jasminebury,Albania,Female,6/18/16 17:23,Yes
74.65,28,67669.06,212.56,Robust transitional ability,East Timothy,French Southern Territories,Male,3/17/16 5:00,No
60.25,35,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,Papua New Guinea,Male,6/29/16 13:35,Yes
59.21,35,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,Liechtenstein,Female,2/2/16 8:55,Yes
43.02,44,50199.77,125.22,Configurable bottom-line application,West Lindseybury,Thailand,Female,4/13/16 5:42,Yes
84.04,38,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,Malaysia,Male,7/20/16 9:27,No
70.66,43,63450.96,120.95,Versatile scalable encryption,Lake Craigview,Mauritius,Female,2/26/16 4:57,Yes
70.58,26,56694.12,136.94,Proactive next generation knowledge user,Lake David,Algeria,Female,2/26/16 9:18,Yes
72.44,34,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,Christmas Island,Male,4/15/16 14:45,No
40.17,26,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,Japan,Male,2/1/16 14:37,Yes
79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,Greenland,Male,1/20/16 19:09,No
44.49,53,63100.13,168,Business-focused real-time toolset,Jacksonburgh,Sao Tome and Principe,Female,4/23/16 6:28,Yes
73.04,37,73687.5,221.79,Organic contextually-based focus group,Erinmouth,Senegal,Male,6/19/16 22:26,No
76.28,33,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,Guadeloupe,Male,2/15/16 7:55,No
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,Belgium,Male,2/9/16 19:37,No
73.1,28,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,Israel,Female,1/25/16 7:52,No
47.66,29,27086.4,156.54,Devolved responsive structure,Tinaton,Honduras,Male,7/18/16 11:33,Yes
87.3,35,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,Estonia,Male,1/9/16 7:28,No
89.34,32,50216.01,177.78,Object-based executive productivity,Wendyton,Paraguay,Female,3/21/16 21:15,No
81.37,26,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,Kyrgyz Republic,Male,2/15/16 12:25,No
81.67,28,62927.96,196.76,Visionary analyzing structure,North Christopher,Mauritania,Female,3/4/16 8:48,No
46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,French Guiana,Female,1/5/16 0:02,Yes
54.88,24,32006.82,148.61,Customizable modular Internet solution,West Pamela,Northern Mariana Islands,Female,5/15/16 1:03,Yes
40.67,35,48913.07,133.18,Stand-alone encompassing throughput,West Amanda,Lebanon,Female,5/5/16 9:28,Yes
71.76,35,69285.69,237.39,Customizable zero-defect matrix,South Tomside,Saint Pierre and Miquelon,Male,5/26/16 13:18,No
47.51,51,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,American Samoa,Female,5/21/16 1:36,Yes
75.15,22,52011,212.87,Universal global intranet,Jamiefort,Austria,Male,5/4/16 12:06,No
56.01,26,46339.25,127.26,Re-engineered real-time success,Garciamouth,Tonga,Female,7/5/16 18:59,Yes
82.87,37,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,Tonga,Male,6/28/16 20:13,No
45.05,42,66348.95,141.36,Digitized contextually-based product,South Kyle,French Southern Territories,Female,5/5/16 11:09,Yes
60.53,24,66873.9,167.22,Organic interactive support,Combsstad,Serbia,Male,3/25/16 15:17,Yes
50.52,31,72270.88,171.62,Function-based stable alliance,Lake Allenville,New Caledonia,Male,1/23/16 15:02,Yes
84.71,32,61610.05,210.23,Reactive responsive emulation,Greenechester,Taiwan,Male,5/29/16 7:29,No
55.2,39,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,United States of America,Male,5/30/16 7:36,Yes
81.61,33,62667.51,228.76,Enterprise-wide local matrices,Gravesport,Morocco,Male,4/17/16 15:46,No
71.55,36,75687.46,163.99,Inverse next generation moratorium,South Troy,Suriname,Female,7/20/16 23:08,No
82.4,36,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,Macedonia,Male,6/29/16 3:07,No
73.95,35,67714.82,238.58,Persevering even-keeled help-desk,Millerland,Wallis and Futuna,Female,4/10/16 14:48,No
72.07,31,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,Chile,Male,4/16/16 16:38,No
80.39,31,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,Gabon,Female,5/3/16 8:21,No
65.8,25,60843.32,231.49,Expanded radical software,Clineshire,Gabon,Male,3/18/16 16:04,No
69.97,28,55041.6,250,Mandatory 3rdgeneration moderator,Cynthiaside,Holy See (Vatican City State),Male,5/22/16 0:01,No
52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,Seychelles,Female,2/1/16 20:30,Yes
39.25,39,62378.05,152.36,Customer-focused incremental system engine,Michellefort,Mayotte,Male,1/23/16 17:39,Yes
77.56,38,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,Uganda,Female,5/19/16 3:52,Yes
33.52,43,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,Cambodia,Female,5/9/16 21:54,Yes
79.81,24,56194.56,178.85,Proactive context-sensitive project,North Daniel,Antigua and Barbuda,Male,5/31/16 11:44,Yes
84.79,33,61771.9,214.53,Managed eco-centric encoding,New Juan,Cameroon,Male,3/30/16 19:09,No
82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,Somalia,Female,1/9/16 15:49,No
84.88,32,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,Lebanon,Female,4/18/16 3:41,No
54.92,54,23975.35,161.16,Extended interactive model,Roberttown,Saint Pierre and Miquelon,Female,6/13/16 13:59,Yes
76.56,34,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,Dominica,Female,4/23/16 8:15,No
69.74,49,66524.8,243.37,Enhanced maximized access,Birdshire,Hungary,Male,3/27/16 16:41,No
75.55,22,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,Taiwan,Female,2/19/16 7:29,Yes
72.19,33,61275.18,250.35,Synchronized national infrastructure,Curtisview,Saint Lucia,Female,5/19/16 11:16,No
84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,Niue,Male,1/27/16 20:47,No
73.89,39,47160.53,110.68,Horizontal national architecture,North April,France,Male,4/20/16 0:41,Yes
75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,Cyprus,Male,2/7/16 7:41,No
73.38,25,53058.91,236.19,Horizontal transitional challenge,South Corey,French Southern Territories,Female,4/21/16 9:30,No
80.72,31,68614.98,186.37,Re-engineered neutral success,Juliaport,Costa Rica,Male,4/19/16 5:15,No
62.06,44,44174.25,105,Adaptive contextually-based methodology,Port Paultown,Austria,Male,4/12/16 14:01,Yes
51.5,34,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,Zambia,Male,3/15/16 11:25,Yes
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,Congo,Male,2/16/16 18:21,No
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,New Steve,United States of America,Male,2/18/16 23:08,No
66.18,35,69476.42,243.61,Proactive asymmetric definition,New Johnberg,Pitcairn Islands,Female,3/25/16 8:40,No
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,Belize,Female,3/16/16 0:28,No
36.87,36,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,Anguilla,Male,1/28/16 11:50,Yes
34.78,48,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,South Africa,Male,3/24/16 2:01,Yes
76.84,32,65883.39,231.59,Reduced incremental productivity,Faithview,Singapore,Male,3/3/16 22:31,No
67.05,25,65421.39,220.92,Realigned scalable standardization,Richardsontown,Finland,Female,2/26/16 9:54,No
41.47,31,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,Martinique,Male,7/6/16 15:56,Yes
80.71,26,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,Cameroon,Male,6/24/16 5:50,No
80.09,31,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,Sweden,Female,5/23/16 21:00,No
56.3,49,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,New Caledonia,Male,2/3/16 19:12,Yes
79.36,34,57260.41,245.78,Profound maximized workforce,Hessstad,Bosnia and Herzegovina,Female,4/28/16 22:54,No
86.38,40,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,Singapore,Male,3/19/16 14:57,No
38.94,41,57587,142.67,Optional mission-critical functionalities,Lewismouth,Falkland Islands (Malvinas),Female,7/15/16 9:08,Yes
87.26,35,63060.55,184.03,Multi-layered tangible portal,New Paul,Bosnia and Herzegovina,Female,5/12/16 4:35,No
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,Mauritius,Female,1/1/16 21:58,No
74.38,40,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,Indonesia,Male,3/13/16 13:50,No
65.9,22,60550.66,211.39,De-engineered tertiary secured line,Hartport,Czech Republic,Female,7/16/16 14:13,No
36.31,47,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,Eritrea,Male,4/18/16 0:49,Yes
72.23,48,52736.33,115.35,Integrated coherent pricing structure,Burgessside,Mexico,Male,7/17/16 1:13,Yes
88.12,38,46653.75,230.91,Realigned next generation projection,Hurleyborough,Gibraltar,Male,2/17/16 7:05,No
83.97,28,56986.73,205.5,Reactive needs-based instruction set,Garychester,Haiti,Female,6/16/16 2:33,No
61.09,26,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,Falkland Islands (Malvinas),Female,4/9/16 16:31,Yes
65.77,21,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,Eritrea,Male,3/18/16 17:35,No
81.58,25,39699.13,199.39,Decentralized needs-based analyzer,Erikville,Hong Kong,Female,5/11/16 22:02,No
37.87,52,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,Gambia,Male,5/25/16 20:10,Yes
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,Barbados,Female,2/29/16 19:26,No
60.91,19,53309.61,184.94,Upgradable directional system engine,Port Kathleenfort,Nauru,Male,6/9/16 14:24,Yes
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,Peru,Male,1/30/16 16:15,No
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,El Salvador,Male,2/15/16 5:35,No
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,Libyan Arab Jamahiriya,Female,1/31/16 6:14,No
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,Cambodia,Female,1/5/16 16:34,No
74.87,52,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,Saint Barthelemy,Male,5/31/16 2:17,Yes
87.09,36,57737.51,221.98,Synergized coherent interface,Luischester,Reunion,Male,4/21/16 16:10,No
37.45,47,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,Antigua and Barbuda,Female,4/10/16 3:30,Yes
49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,Samoa,Female,2/9/16 7:21,Yes
51.38,59,42362.49,158.56,Object-based modular functionalities,East Anthony,Afghanistan,Female,6/17/16 17:11,Yes
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,Azerbaijan,Female,5/22/16 21:54,No
38.91,33,56369.74,150.8,Versatile reciprocal structure,Morrismouth,Philippines,Male,7/13/16 7:41,Yes
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,Angola,Female,1/23/16 18:59,Yes
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,Albania,Female,5/20/16 12:17,No
73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,Hungary,Male,1/30/16 4:38,Yes
69.11,42,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,Faroe Islands,Male,4/21/16 12:34,No
71.9,54,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,Czech Republic,Male,4/22/16 20:32,Yes
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,Svalbard & Jan Mayen Islands,Male,1/11/16 6:02,No
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,Afghanistan,Male,3/1/16 10:01,No
74.62,36,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,Rwanda,Female,4/4/16 8:19,No
82.07,25,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,Panama,Female,6/20/16 6:30,No
58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,Samoa,Female,1/28/16 7:10,Yes
36.08,45,41417.27,151.47,Automated client-driven orchestration,Davidside,United States Minor Outlying Islands,Male,7/3/16 4:11,Yes
79.44,26,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,Greece,Female,5/15/16 13:18,No
41.73,47,60812.77,144.71,Proactive client-server productivity,Andersonchester,Cote d'Ivoire,Female,4/8/16 22:48,Yes
73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,Pakistan,Female,1/19/16 12:18,No
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,Anguilla,Male,5/26/16 15:40,No
89,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,Cyprus,Male,1/26/16 15:56,No
69.2,42,26023.99,123.8,Balanced value-added database,Meyersstad,Peru,Male,6/17/16 9:58,Yes
67.56,31,62318.38,125.45,Seamless composite budgetary management,Michelleside,Kenya,Female,4/25/16 21:15,Yes
81.11,39,56216.57,248.19,Total cohesive moratorium,South Robert,Chad,Female,7/13/16 11:41,No
80.22,30,61806.31,224.58,Integrated motivating neural-net,New Tyler,Kyrgyz Republic,Female,7/5/16 15:14,No
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,Albania,Male,3/15/16 14:06,Yes
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,Gabon,Female,6/19/16 22:08,No
74.63,26,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,Dominican Republic,Male,7/5/16 20:16,No
49.67,27,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,Zimbabwe,Female,5/9/16 8:44,Yes
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,Croatia,Female,7/21/16 23:14,No
83.49,33,66574,190.75,Polarized logistical hub,Samuelborough,Cambodia,Male,6/3/16 17:32,No
44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,Mongolia,Male,1/15/16 19:40,Yes
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,Honduras,Female,2/5/16 16:50,No
63.88,38,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,Madagascar,Male,2/29/16 23:56,Yes
78.83,36,66050.63,234.64,Future-proofed responsive matrix,New Wanda,Qatar,Female,5/8/16 12:08,No
79.97,44,70449.04,216,Programmable empowering middleware,Mariebury,China,Female,7/13/16 1:48,No
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,Bangladesh,Male,1/8/16 2:34,No
62.26,26,70203.74,202.77,Public-key mission-critical core,New Jasmine,Swaziland,Female,6/8/16 12:25,No
66.99,47,27262.51,124.44,Operative actuating installation,Lopezberg,Tanzania,Male,6/15/16 11:56,Yes
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,Eritrea,Female,6/13/16 22:41,No
42.05,51,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,Canada,Female,6/20/16 14:20,Yes
50.52,28,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,Saint Kitts and Nevis,Female,4/3/16 6:17,Yes
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,Burkina Faso,Male,5/31/16 23:42,No
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,Tuvalu,Female,2/15/16 3:43,No
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,El Salvador,Female,3/10/16 23:26,Yes
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,Madagascar,Female,2/26/16 17:01,No
39.34,43,31215.88,148.93,Proactive radical support,Alvaradoport,Bangladesh,Female,4/17/16 21:39,Yes
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,American Samoa,Male,3/26/16 19:54,No
57.24,52,46473.14,117.35,Profound optimizing utilization,Richardsonland,Latvia,Female,6/29/16 21:39,Yes
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,Moldova,Male,1/27/16 17:55,No
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,Anguilla,Female,3/17/16 23:39,Yes
48.73,27,34191.23,142.04,Versatile content-based protocol,Monicaview,Bangladesh,Female,7/9/16 16:23,Yes
51.68,49,51067.54,258.62,Seamless cohesive conglomeration,Katieport,Faroe Islands,Male,6/28/16 12:51,Yes
35.34,45,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,Taiwan,Female,6/18/16 16:32,Yes
48.09,33,19345.36,180.42,Balanced motivating help-desk,West Travismouth,Heard Island and McDonald Islands,Female,5/28/16 12:38,Yes
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,Israel,Female,1/16/16 16:40,No
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,Bolivia,Female,7/11/16 15:45,No
56.99,40,37713.23,108.15,Sharable optimal capacity,Brownton,Bahamas,Male,7/16/16 23:08,Yes
86.63,39,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,Costa Rica,Male,4/6/16 21:20,No
41.18,43,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,Myanmar,Male,7/5/16 0:54,Yes
71.03,32,57846.68,120.85,Advanced systemic productivity,Keithtown,Netherlands Antilles,Male,2/17/16 23:47,Yes
72.92,29,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,Czech Republic,Male,3/15/16 17:33,No
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,Iceland,Male,1/21/16 18:51,No
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,Palau,Female,6/6/16 22:41,No
34.3,41,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,Libyan Arab Jamahiriya,Male,5/16/16 14:50,Yes
83.71,45,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,Kazakhstan,Female,4/17/16 19:10,No
53.38,35,60803.37,120.06,Total local synergy,Alexanderview,French Guiana,Male,3/30/16 1:05,Yes
58.03,31,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,Tuvalu,Female,6/29/16 9:04,Yes
43.59,36,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,Congo,Male,5/26/16 13:43,Yes
60.07,42,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,United Kingdom,Male,4/15/16 10:16,Yes
54.43,37,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,Luxembourg,Female,5/31/16 9:06,Yes
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,French Polynesia,Female,2/15/16 14:13,No
60.53,29,56759.48,123.28,Networked even-keeled workforce,Williamsport,Papua New Guinea,Male,5/9/16 10:21,Yes
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,Maldives,Male,7/7/16 23:32,No
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,Zambia,Male,1/3/16 17:10,No
88.89,35,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,Cook Islands,Female,7/17/16 18:55,No
69.58,43,28028.74,255.07,Cross-group value-added success,Port Katelynview,Congo,Female,4/4/16 18:36,Yes
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,Senegal,Female,2/27/16 12:34,No
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,Myanmar,Female,6/8/16 20:13,No
56.66,42,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,Dominican Republic,Female,2/20/16 10:52,Yes
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,Bahrain,Female,3/23/16 21:06,No
76.24,27,63976.44,214.42,Monitored dynamic instruction set,Munozberg,Puerto Rico,Male,6/7/16 1:29,No
57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,Chile,Female,1/18/16 15:18,Yes
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,Bolivia,Male,6/9/16 19:32,No
46.04,32,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,Serbia,Male,5/30/16 20:07,Yes
79.4,35,63966.72,236.87,User-centric intangible contingency,New Gabriel,Malaysia,Female,4/1/16 9:21,No
36.44,39,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,Estonia,Male,5/31/16 6:21,Yes
53.14,38,49111.47,109,Automated web-enabled migration,West Julia,Greenland,Male,7/3/16 22:13,Yes
32.84,40,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,Trinidad and Tobago,Female,3/10/16 1:36,Yes
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,Thailand,Male,3/18/16 2:39,No
38.1,34,60641.09,214.38,Optional secondary access,North Aaronchester,Philippines,Female,5/30/16 18:08,Yes
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,Niue,Male,2/20/16 0:06,No
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,Afghanistan,Female,3/10/16 22:28,Yes
77.69,22,48852.58,169.88,Horizontal heuristic support,Morganfort,Angola,Male,6/21/16 14:32,No
43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,Egypt,Female,2/5/16 15:26,Yes
55.92,24,33951.63,145.08,Focused systemic benchmark,Taylorhaven,Fiji,Male,5/31/16 21:41,Yes
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,Portugal,Female,1/1/16 2:52,No
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,Austria,Male,3/4/16 14:10,No
82.12,52,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,Germany,Female,2/3/16 10:40,Yes
66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,Panama,Female,1/20/16 0:26,No
43.01,35,48347.64,127.37,Organized 24/7 middleware,Butlerfort,United States of America,Female,6/11/16 9:37,Yes
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,Christmas Island,Female,3/8/16 5:48,No
64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,Equatorial Guinea,Male,2/14/16 22:23,Yes
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,Micronesia,Female,7/17/16 22:04,No
48.03,40,25598.75,134.6,Networked stable array,East Lindsey,Malta,Female,6/2/16 22:16,Yes
32.99,45,49282.87,177.46,Phased full-range hardware,Masseyshire,Ecuador,Female,4/30/16 19:42,Yes
74.88,27,67240.25,175.17,Organized empowering policy,Sarahton,Sudan,Male,4/17/16 6:58,No
36.49,52,42136.33,196.61,Object-based system-worthy superstructure,Ryanhaven,Lao People's Democratic Republic,Female,3/9/16 0:41,Yes
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,Saint Vincent and the Grenadines,Female,3/7/16 20:02,No
45.7,33,67384.31,151.12,Self-enabling multimedia system engine,New Williammouth,Switzerland,Male,5/26/16 10:33,Yes
82.38,35,25603.93,159.6,Polarized analyzing intranet,Port Blake,Spain,Male,7/18/16 1:36,Yes
52.68,23,39616,149.2,Vision-oriented attitude-oriented Internet solution,West Richard,Turks and Caicos Islands,Male,7/16/16 5:56,Yes
65.59,47,28265.81,121.81,Digitized disintermediate ability,Brandymouth,Indonesia,Female,3/22/16 6:41,Yes
65.65,25,63879.72,224.92,Intuitive explicit firmware,Sandraville,Cook Islands,Female,6/3/16 6:34,No
43.84,36,70592.81,167.42,Public-key real-time definition,Port Jessica,Australia,Female,6/28/16 9:19,Yes
67.69,37,76408.19,216.57,Monitored content-based implementation,Lake Jasonchester,Finland,Male,7/18/16 18:33,No
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,Pakistan,Male,1/23/16 4:47,No
81.46,29,51636.12,231.54,Intuitive fresh-thinking moderator,Sellerstown,Ireland,Female,2/29/16 11:00,No
47.48,31,29359.2,141.34,Reverse-engineered 24hour hardware,Yuton,Eritrea,Female,6/30/16 0:19,Yes
75.15,33,71296.67,219.49,Synchronized zero tolerance product,Smithtown,France,Female,6/19/16 18:19,No
78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,Austria,Male,1/8/16 8:08,No
44.96,50,52802,132.71,Focused fresh-thinking Graphic Interface,South Peter,Heard Island and McDonald Islands,Female,1/2/16 12:25,Yes
39.56,41,59243.46,143.13,Ameliorated exuding solution,Port Mitchell,Western Sahara,Female,5/13/16 11:57,Yes
39.76,28,35350.55,196.83,Integrated maximized service-desk,Pottermouth,Liberia,Male,2/8/16 14:02,Yes
57.11,22,59677.64,207.17,Self-enabling tertiary challenge,Lake Jonathanview,Dominican Republic,Female,6/7/16 23:46,No
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,Tonga,Female,1/2/16 14:36,No
69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,Lao People's Democratic Republic,Female,2/13/16 4:16,No
50.6,30,34191.13,129.88,Realigned reciprocal framework,New Daniellefort,United States of America,Male,5/3/16 12:57,Yes
46.2,37,51315.38,119.3,Distributed maximized ability,Welchshire,Belgium,Female,4/3/16 11:38,Yes
66.88,35,62790.96,119.47,Polarized bifurcated array,Russellville,Indonesia,Male,3/23/16 19:58,Yes
83.97,40,66291.67,158.42,Progressive asynchronous adapter,West Lisa,Croatia,Male,2/2/16 11:49,No
76.56,30,68030.18,213.75,Business-focused high-level hardware,Greentown,Brunei Darussalam,Female,3/8/16 10:39,No
35.49,48,43974.49,159.77,Fully-configurable holistic throughput,Timothyport,American Samoa,Female,4/8/16 14:35,Yes
80.29,31,49457.48,244.87,Ameliorated contextually-based collaboration,Teresahaven,Netherlands Antilles,Male,6/30/16 0:40,No
